01 08102021 04 00   15.2   22.1    1.6 2
02 08102021 04 00    -.9    3.0   11.3 0
03 08102021 04 00   22.3   18.1   21.8 2
04 08102021 04 00   22.7   -5.6   13.8 2
05 08102021 04 00   10.4    9.9   29.5 2
06 08102021 04 00    7.9   21.3   14.4 2
07 08102021 04 00    1.0   11.1   29.5 2
08 08102021 04 00   15.3   17.6   14.4 1
09 08102021 04 00   21.3   10.0   11.2 2
10 08102021 04 00   23.1   -3.1   28.3 2
01 08102021 04 01    5.2   22.1    1.6 2
02 08102021 04 01    3.9    3.0   11.3 0
03 08102021 04 01    2.3   18.1   21.8 2
04 08102021 04 01   32.7   -5.6   13.8 2
05 08102021 04 01   10.4    9.9    9.5 2
06 08102021 04 01    7.9   21.3   24.4 2
07 08102021 04 01    1.0   11.1    9.5 2
08 08102021 04 01   15.3   17.6   14.4 1
09 08102021 04 01    2.3   18.0   11.2 2
10 08102021 04 01    3.1  -13.1   28.3 2
01 08102021 04 02   15.2   22.1    1.6 2
02 08102021 04 02    -.9    3.0   11.3 0
03 08102021 04 02   22.3   18.1   21.8 2
04 08102021 04 02   22.7   -5.6   13.8 2
05 08102021 04 02   10.4    9.9   29.5 2
06 08102021 04 02    7.9   21.3   14.4 2
07 08102021 04 02    1.0   11.1   29.5 2
08 08102021 04 02   15.3   17.6   14.4 1
09 08102021 04 02   21.3   10.0   11.2 2
10 08102021 04 02   23.1   -3.1   28.3 2
01 08102021 04 03    5.2   22.1    1.6 2
02 08102021 04 03    3.9    3.0   11.3 0
03 08102021 04 03    2.3   18.1   21.8 2
04 08102021 04 03   32.7   -5.6   13.8 2
05 08102021 04 03   10.4    9.9    9.5 2
06 08102021 04 03    7.9   21.3   24.4 2
07 08102021 04 03    1.0   11.1    9.5 2
08 08102021 04 03   15.3   17.6   14.4 1
09 08102021 04 03    2.3   18.0   11.2 2
10 08102021 04 03    3.1  -13.1   28.3 2
